scenario,policy,mean_response_time,p95_response_time,origin_free_rate,local_failure_rate,neighbor_attempt_rate,neighbor_failure_rate,b2_neighbor_choice_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,trial_index,trial_seed,sweep_name,sweep_value
steady,B0,100.488,201.441,0.555,0.445,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B0,100.076,201.243,0.557,0.443,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B0,100.793,201.546,0.5528,0.4472,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B0,99.762,201.421,0.559,0.441,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B0,102.34,201.267,0.5439,0.4561,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B0,99.816,201.458,0.5587,0.4413,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B0,100.707,201.58,0.5539,0.4461,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B0,101.66,201.311,0.5478,0.4522,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B0,100.254,201.289,0.5563,0.4437,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B0,101.898,201.581,0.5467,0.4533,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
steady,B1,67.988,225.932,0.836,0.445,0.445,0.3685,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B1,66.416,226.035,0.8449,0.443,0.443,0.3501,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B1,67.795,225.942,0.8373,0.4472,0.4472,0.3638,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B1,67.534,226.246,0.8376,0.441,0.441,0.3683,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B1,68.951,226.149,0.8324,0.4561,0.4561,0.3675,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B1,67.549,226.141,0.8376,0.4413,0.4413,0.368,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B1,67.405,225.992,0.8401,0.4461,0.4461,0.3584,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B1,69.009,225.88,0.831,0.4522,0.4522,0.3737,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B1,67.493,225.709,0.8387,0.4437,0.4437,0.3635,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B1,68.335,225.969,0.8358,0.4533,0.4533,0.3622,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
steady,B2,67.883,225.302,0.8309,0.445,0.4121,0.3305,0.9261,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B2,66.265,225.223,0.8396,0.443,0.4073,0.3062,0.9194,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B2,67.417,225.139,0.8328,0.4472,0.408,0.3137,0.9123,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B2,67.352,225.353,0.8317,0.441,0.4008,0.3196,0.9088,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B2,68.724,225.292,0.8267,0.4561,0.4154,0.3192,0.9108,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B2,67.117,225.13,0.8333,0.4413,0.4013,0.3157,0.9094,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B2,67.05,225.204,0.8356,0.4461,0.4077,0.3091,0.9139,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B2,68.746,225.184,0.8257,0.4522,0.4125,0.3263,0.9122,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B2,67.06,224.867,0.8343,0.4437,0.4031,0.3103,0.9085,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B2,68.115,225.265,0.83,0.4533,0.4123,0.3129,0.9096,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
low_reliability_neighbor,B0,100.523,201.544,0.5544,0.4456,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.077,201.178,0.5512,0.4488,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,98.428,201.571,0.5666,0.4334,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.271,201.614,0.5501,0.4499,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,102.388,201.462,0.5437,0.4563,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.458,201.465,0.5548,0.4452,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.859,201.323,0.5528,0.4472,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.204,201.361,0.5561,0.4439,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,102.496,201.699,0.5436,0.4564,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.867,201.496,0.5524,0.4476,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,9,20270534,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,91.064,228.29,0.6915,0.4456,0.4456,0.6923,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.459,227.969,0.6836,0.4488,0.4488,0.705,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,89.251,228.362,0.6998,0.4334,0.4334,0.6927,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.844,228.442,0.6815,0.4499,0.4499,0.7079,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,93.436,228.493,0.6795,0.4563,0.4563,0.7024,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.268,228.412,0.6839,0.4452,0.4452,0.71,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.212,228.282,0.6851,0.4472,0.4472,0.7042,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,91.337,228.325,0.6892,0.4439,0.4439,0.7002,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,93.755,228.499,0.6781,0.4564,0.4564,0.7053,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.632,228.532,0.6822,0.4476,0.4476,0.71,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,9,20270534,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,89.504,227.453,0.688,0.4456,0.3699,0.6388,0.8301,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,90.873,227.239,0.68,0.4488,0.3716,0.6534,0.828,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,88.054,227.394,0.6947,0.4334,0.3615,0.6456,0.8341,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,91.1,227.438,0.6788,0.4499,0.3722,0.6542,0.8273,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,91.96,227.633,0.6749,0.4563,0.3773,0.6523,0.8269,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,90.734,227.57,0.6798,0.4452,0.367,0.6594,0.8243,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,90.633,227.394,0.6819,0.4472,0.3725,0.6534,0.833,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,89.553,227.323,0.6864,0.4439,0.3642,0.6422,0.8205,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,92.31,227.648,0.6738,0.4564,0.3802,0.6575,0.833,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,90.976,227.38,0.6792,0.4476,0.3713,0.6585,0.8295,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,9,20270534,formal_scenario,low_reliability_neighbor
origin_congestion,B0,165.042,341.553,0.5478,0.4522,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,0,20280525,formal_scenario,origin_congestion
origin_congestion,B0,160.595,341.46,0.5618,0.4382,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,1,20280526,formal_scenario,origin_congestion
origin_congestion,B0,163.396,341.146,0.5527,0.4473,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,2,20280527,formal_scenario,origin_congestion
origin_congestion,B0,165.664,341.375,0.5459,0.4541,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,3,20280528,formal_scenario,origin_congestion
origin_congestion,B0,161.105,341.407,0.5603,0.4397,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,4,20280529,formal_scenario,origin_congestion
origin_congestion,B0,167.063,341.25,0.5412,0.4588,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,5,20280530,formal_scenario,origin_congestion
origin_congestion,B0,166.839,341.474,0.5419,0.4581,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,6,20280531,formal_scenario,origin_congestion
origin_congestion,B0,159.805,341.322,0.5642,0.4358,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,7,20280532,formal_scenario,origin_congestion
origin_congestion,B0,162.55,341.434,0.5556,0.4444,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,8,20280533,formal_scenario,origin_congestion
origin_congestion,B0,166.54,341.764,0.5431,0.4569,0.0,0.0,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,9,20280534,formal_scenario,origin_congestion
origin_congestion,B1,91.903,366.016,0.8338,0.4522,0.4522,0.3675,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,0,20280525,formal_scenario,origin_congestion
origin_congestion,B1,90.065,365.957,0.8378,0.4382,0.4382,0.3702,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,1,20280526,formal_scenario,origin_congestion
origin_congestion,B1,88.74,365.981,0.8433,0.4473,0.4473,0.3503,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,2,20280527,formal_scenario,origin_congestion
origin_congestion,B1,93.538,366.132,0.8287,0.4541,0.4541,0.3772,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,3,20280528,formal_scenario,origin_congestion
origin_congestion,B1,88.247,365.883,0.8442,0.4397,0.4397,0.3543,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,4,20280529,formal_scenario,origin_congestion
origin_congestion,B1,89.79,365.793,0.8416,0.4588,0.4588,0.3452,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,5,20280530,formal_scenario,origin_congestion
origin_congestion,B1,93.746,366.344,0.8283,0.4581,0.4581,0.3748,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,6,20280531,formal_scenario,origin_congestion
origin_congestion,B1,88.968,365.896,0.841,0.4358,0.4358,0.3648,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,7,20280532,formal_scenario,origin_congestion
origin_congestion,B1,89.763,365.824,0.8397,0.4444,0.4444,0.3607,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,8,20280533,formal_scenario,origin_congestion
origin_congestion,B1,91.343,366.038,0.8364,0.4569,0.4569,0.3581,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,9,20280534,formal_scenario,origin_congestion
origin_congestion,B2,91.816,365.902,0.8338,0.4522,0.4491,0.3632,0.9931,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,0,20280525,formal_scenario,origin_congestion
origin_congestion,B2,90.022,365.887,0.8377,0.4382,0.4356,0.3666,0.9941,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,1,20280526,formal_scenario,origin_congestion
origin_congestion,B2,88.631,365.9,0.8433,0.4473,0.4434,0.3446,0.9913,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,2,20280527,formal_scenario,origin_congestion
origin_congestion,B2,93.456,366.083,0.8286,0.4541,0.4501,0.3719,0.9912,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,3,20280528,formal_scenario,origin_congestion
origin_congestion,B2,88.135,365.809,0.8442,0.4397,0.4357,0.3484,0.9909,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,4,20280529,formal_scenario,origin_congestion
origin_congestion,B2,89.716,365.723,0.8415,0.4588,0.4551,0.3401,0.9919,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,5,20280530,formal_scenario,origin_congestion
origin_congestion,B2,93.735,366.215,0.828,0.4581,0.4545,0.3705,0.9921,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,6,20280531,formal_scenario,origin_congestion
origin_congestion,B2,88.846,365.755,0.8409,0.4358,0.4304,0.3571,0.9876,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,7,20280532,formal_scenario,origin_congestion
origin_congestion,B2,89.712,365.803,0.8396,0.4444,0.4415,0.3567,0.9935,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,8,20280533,formal_scenario,origin_congestion
origin_congestion,B2,91.265,365.949,0.8364,0.4569,0.4541,0.3541,0.9939,1.1,0.82,0.82,0.82,320.0,3,5,3,0.9,0.15,1.0,9,20280534,formal_scenario,origin_congestion
